itemID,nPeople,offAway,onAway,left,right,propLeft,propRight
Eye_Jar_G3,22,1155,51,766,771,49.8,50.2
Wolf_Flower_G3,22,1132,92,923,884,51.1,48.9
Foot_Cup_G1,14,212,243,568,535,51.5,48.5
Sock_Door_G1,14,502,52,503,466,51.9,48.1
Sneaker_Tricycle_G5,12,550,70,390,359,52.1,47.9
Necklace_Shovel_G3,26,983,185,860,962,47.2,52.8
Bucket_Deer_G4,13,275,86,512,605,45.8,54.2
Melon_Sneaker_G5,9,188,22,360,298,54.7,45.3
Blanket_Toothbrush_G2,12,713,130,252,311,44.8,55.2
Jeans_Donkey_G4,9,2,59,541,414,56.6,43.4
Shoulder_Hose_G5,12,70,217,627,479,56.7,43.3
Window_Table_G3,24,1046,144,798,1046,43.3,56.7
Shovel_Window_G3,21,825,115,873,636,57.9,42.1
Table_Necklace_G3,25,568,244,972,1370,41.5,58.5
Crib_Apple_G2,10,594,22,361,255,58.6,41.4
Truck_Hand_G2,9,469,67,354,506,41.2,58.8
Book_Nose_G1,16,333,121,791,549,59,41
Foot_Book_G1,13,402,66,491,719,40.6,59.4
Rooster_Playground_G5,12,264,75,633,423,59.9,40.1
Hose_Rooster_G5,9,38,59,590,387,60.4,39.6
Muffin_Lion_G4,11,63,122,374,585,39,61
Block_Cow_G2,13,522,76,566,357,61.3,38.7
Car_Shoe_G1,15,624,182,592,363,62,38
Flower_Eye_G3,27,458,154,1127,1837,38,62
Jar_Wolf_G3,25,993,162,571,935,37.9,62.1
Ladder_Melon_G5,12,111,145,770,467,62.2,37.8
Bucket_Muffin_G4,12,137,156,436,726,37.5,62.5
Nose_Car_G1,12,611,143,465,804,36.6,63.4
Zipper_Donkey_G4,11,479,56,278,496,35.9,64.1
Pen_Jeans_G4,13,604,42,606,335,64.4,35.6
Door_Sock_G1,13,372,55,669,363,64.8,35.2
Cup_Shoe_G1,15,394,69,983,517,65.5,34.5
Toothbrush_Block_G2,10,306,38,322,654,33,67
Deer_Pen_G4,13,113,132,912,444,67.3,32.7
Tricycle_Ladder_G5,9,420,63,425,198,68.2,31.8
Apple_Truck_G2,11,735,10,444,196,69.4,30.6
Cow_Blanket_G2,10,505,30,417,183,69.5,30.5
Lion_Zipper_G4,13,189,110,851,327,72.2,27.8
Playground_Shoulder_G5,12,284,82,742,256,74.3,25.7
Hand_Crib_G2,13,477,146,860,236,78.5,21.5
